system   D            wsystem.c:583  maybe_parent_dir                 [   0.02484] Also searching C:\Users\Laco\Documents\Visual Studio 2013\Projects\Allegro\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.02534] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.02538] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.04832] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.11958] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.11965] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.11990] added dtor for object 003CCBA8, func 0FDD24CD
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.12053] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.12056] al_display=003CCE28
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.12058] al_display->vt=003CCD60
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17109] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.17116] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17120] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17123] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17126] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17129] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17132] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17135] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17138] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17154] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17158] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17160] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17163] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17165] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17168] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17171] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17174] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17176] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17179] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17181] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17184] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17186] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17188] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17194] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17196] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17198] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17200] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17201] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17203] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17205] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17208] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17211] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17214] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17216] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17218] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17220] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17222] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17223] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17225] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17227] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17229] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17230] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17232] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17234] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17236] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17237] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17239] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17241] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17243] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17244] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17246] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17248] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17250] Score is : 897
