system   D            wsystem.c:583  maybe_parent_dir                 [   0.03727] Also searching C:\Users\Laco\Documents\Visual Studio 2013\Projects\Allegro\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.03770] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.03774] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.05831] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.13476] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.13489] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.13526] added dtor for object 006B6148, func 57FD24CD
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.13585] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.13588] al_display=006B63C8
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.13589] al_display->vt=006B6300
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17416] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.17421] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17423] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17425] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17427] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17428] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17430] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17432] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17434] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17435] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17437] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17441] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17443] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17445] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17446] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17448] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17450] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17452] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17453] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17455] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17457] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17459] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17465] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17468] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17470] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17472] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17473] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17475] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17477] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17479] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17482] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17484] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17485] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17487] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17489] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17491] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17492] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17494] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17496] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17498] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17499] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17501] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17503] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17505] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17507] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17509] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17510] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17512] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17514] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17516] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17517] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17519] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17521] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17523] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17524] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17526] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17528] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17530] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17532] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17534] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17535] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17537] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17539] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17541] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17542] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17544] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17546] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17548] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17549] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17551] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17553] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17555] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17557] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17560] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17564] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17569] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17571] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17573] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17574] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17576] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17578] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17582] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17584] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17587] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17588] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17590] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17592] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17594] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17596] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17597] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17599] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17601] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17603] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17605] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17606] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17608] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17610] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17612] Single Buffer requirement not met.
