system   D            wsystem.c:583  maybe_parent_dir                 [   0.03643] Also searching C:\Users\Laco\Documents\Visual Studio 2013\Projects\Monster Slayer\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.03681] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.03684] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.05676] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.13893] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.13904] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.13933] added dtor for object 00455FE8, func 0F6124CD
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.13989] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.13991] al_display=00456268
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.13993] al_display->vt=004561A0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.18095] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.18104] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18107] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18109] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18111] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18112] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18114] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18116] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18118] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18119] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
